[PROBE] Math0/1 norm total: 46246 cycles
[PROBE] MathA NormReady stall: 55429 cycles
[PROBE] MathA NormReady stall: 51692 cycles
[PROBE] Math0/1 norm total: 42598 cycles
[KDA DEBUG] SharedStorageSize = 232448 bytes (227.0 KB)
[KDA DEBUG] MaxThreadsPerBlock = 512
[PROBE] MathA NormReady stall: 47072 cycles
[PROBE] Math0/1 norm total: 47140 cycles
[PROBE] MathA NormReady stall: 53664 cycles
[PROBE] Math0/1 norm total: 44686 cycles
[PROBE] Math0/1 norm total: 45648 cycles
[PROBE] MathA NormReady stall: 55741 cycles
[PROBE] MathA NormReady stall: 53217 cycles
[PROBE] Math0/1 norm total: 44263 cycles
[PROBE] Math0/1 norm total: 42509 cycles
[PROBE] MathA NormReady stall: 52446 cycles
[PROBE] MathA NormReady stall: 53483 cycles
[PROBE] Math0/1 norm total: 43066 cycles
[PROBE] Math0/1 norm total: 38135 cycles
[PROBE] MathA NormReady stall: 48641 cycles
[PROBE] MathA NormReady stall: 56363 cycles
[PROBE] Math0/1 norm total: 46126 cycles
[PROBE] Math0/1 norm total: 46525 cycles
[PROBE] MathA NormReady stall: 57585 cycles
[PROBE] Math0/1 norm total: 41381 cycles
[PROBE] MathA NormReady stall: 50752 cycles
[PROBE] MathA NormReady stall: 52687 cycles
[PROBE] Math0/1 norm total: 43506 cycles
[PROBE] MathA NormReady stall: 56023 cycles
[PROBE] Math0/1 norm total: 45621 cycles
[PROBE] Math0/1 norm total: 45541 cycles
[PROBE] MathA NormReady stall: 55488 cycles
[PROBE] MathA NormReady stall: 53338 cycles
[PROBE] Math0/1 norm total: 43846 cycles
[PROBE] MathA NormReady stall: 50685 cycles
